region,market,enodeb_gnodeb,filedate,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,00:00,risk
e_nor_cal,038,753890,2025-09-08,12.82,3.32,9.09,4.32,11.64,1.5,3.77,3.48,11.5,14.5,8.35,11.05,11.91,12.28,9.91,6.76,11.33,1.51,5.27,13.03,12.37,8.24,1.28,3.97,8.05,12.95,1.6,14.35,0.78,3.79,4.07,9.49,7.96,11.21,13.76,5.16,4.24,9.49,7.19,9.62,7.16,14.71,13.67,0.46,4.47,8.59,12.27,1.89,5.9,11.44,10.91,0.36,10.91,7.78,10.69,10.99,11.47,0.81,3.9,10.65,1.35,4.75,10.41,2.34,14.3,9.67,3.57,2.81,3.7,0.78,3.47,13.46,8.18,7.32,12.21,11.82,12.44,7.37,11.5,6.18,8.16,4.16,2.51,7.19,7.06,4.86,1.31,1.95,3.81,4.24,8.71,12.88,0.25,11.69,0.44,14.01,0
e_carr_tenn,190,945201,2025-09-08,0.97,14.25,13.05,14.68,0.92,7.45,2.33,1.61,7.0,7.97,13.94,12.81,1.3,13.22,0.93,2.0,6.58,12.8,13.71,3.12,5.26,13.43,2.07,8.27,0.49,1.23,8.37,7.89,5.02,8.73,8.14,10.02,6.61,12.25,13.61,4.93,11.26,8.07,14.15,11.5,9.68,9.31,5.76,11.02,7.04,1.54,2.32,11.73,13.96,3.78,2.85,1.96,5.33,3.94,14.83,8.71,7.83,3.03,2.24,2.11,9.42,7.4,14.16,0.71,6.52,7.83,13.92,10.84,14.3,12.05,6.11,7.93,5.63,12.09,10.79,4.44,1.27,5.8,4.08,11.7,13.19,8.71,2.14,11.9,14.62,0.08,13.22,0.59,2.36,14.05,13.46,14.38,13.62,5.34,8.96,12.35,0
e_nor_cal,032,180541,2025-09-06,6.71,11.76,2.02,14.37,11.72,2.1,11.57,5.22,6.93,7.63,8.88,0.41,0.7,12.34,2.6,8.52,5.18,13.97,7.52,11.05,8.36,7.15,12.58,7.04,9.0,1.73,10.49,13.48,6.35,4.12,3.99,11.48,14.59,2.01,5.79,3.83,3.12,0.56,11.79,11.31,13.82,5.85,14.94,2.93,10.15,13.33,2.09,0.27,9.98,8.79,8.4,11.36,13.57,0.64,5.42,11.47,4.51,12.19,11.42,5.45,14.93,5.85,13.97,2.26,0.38,4.1,14.6,7.51,12.06,11.19,10.7,13.57,9.22,4.35,8.24,14.43,4.9,1.37,3.87,5.84,9.44,11.58,7.51,9.38,0.62,1.25,8.37,4.21,3.46,10.96,12.96,0.93,0.25,1.31,14.18,6.58,0
e_carr_tenn,191,681963,2025-09-08,9.66,4.01,12.04,7.17,11.29,7.53,10.36,0.15,3.74,7.01,13.7,14.59,1.51,13.6,14.64,12.85,9.92,9.16,1.37,10.46,1.69,5.44,3.01,2.43,8.63,4.6,12.18,14.08,5.43,2.43,6.96,14.37,11.51,13.16,9.76,0.79,14.34,4.27,5.61,8.09,0.08,6.81,5.17,12.95,13.3,14.11,12.41,10.87,4.68,6.95,7.56,9.74,4.27,3.69,11.82,3.19,3.83,3.02,14.85,5.63,4.85,3.38,14.45,4.48,14.45,8.41,9.56,9.43,6.07,6.76,1.85,9.66,7.99,13.06,2.62,4.32,8.63,12.41,0.34,5.06,8.03,3.59,5.8,3.17,2.62,14.39,1.97,6.14,5.12,1.1,14.62,6.08,8.32,0.85,5.92,11.82,0
e_nor_cal,032,494624,2025-09-07,1.71,5.39,7.69,0.05,12.24,0.69,5.3,9.08,8.42,3.35,6.87,11.87,12.46,13.75,8.46,7.23,5.27,3.16,1.78,14.87,11.02,5.34,0.85,3.03,3.94,0.02,11.67,10.3,6.15,11.03,6.77,8.49,7.59,2.02,10.09,11.8,14.62,9.71,7.59,11.11,6.17,1.32,11.76,3.71,9.88,4.69,13.68,8.79,7.08,7.29,7.89,11.97,6.37,14.42,6.88,6.53,9.13,10.33,14.0,1.87,2.96,9.35,2.97,12.03,8.57,2.79,3.72,0.19,5.28,6.49,5.04,10.63,2.43,9.36,4.82,0.28,2.56,3.22,10.12,5.65,13.25,5.37,0.89,11.56,0.45,11.89,7.32,8.62,2.68,3.14,9.41,0.64,3.93,1.69,1.82,0.28,0
e_nor_cal,038,754827,2025-09-07,3.91,6.41,4.72,13.52,7.04,3.19,7.4,4.87,12.13,2.79,13.21,12.92,5.85,2.38,1.83,11.64,1.1,8.63,13.37,1.17,3.32,7.38,14.5,1.3,4.09,2.99,14.99,9.93,12.76,3.25,11.88,4.49,5.04,11.27,4.0,8.45,7.82,9.54,0.77,8.13,3.04,12.82,0.89,11.68,12.88,14.28,1.94,8.21,5.41,3.89,10.96,4.83,4.0,6.93,6.82,14.17,14.81,9.98,1.47,3.77,6.29,7.05,6.12,0.36,12.09,9.14,10.62,9.29,12.95,1.16,0.14,5.37,2.91,12.71,6.86,12.18,4.52,5.72,5.64,5.13,6.96,12.43,6.01,13.02,14.14,9.19,13.03,2.47,13.08,13.7,5.73,6.95,12.94,9.64,1.84,0.04,0
e_carr_tenn,190,726842,2025-09-07,13.29,4.54,3.51,1.74,0.88,1.7,13.72,10.01,14.93,4.54,1.33,8.31,13.06,4.93,8.05,3.0,2.7,8.45,10.97,2.89,6.52,6.04,10.05,11.81,14.19,8.6,4.54,7.01,10.64,13.37,12.2,6.29,1.54,7.33,9.02,6.78,5.28,12.03,11.46,14.27,14.02,4.18,8.98,4.57,6.19,6.86,2.34,12.98,9.65,11.38,7.57,2.48,1.27,0.75,2.21,4.33,6.21,4.72,13.1,11.88,14.75,9.11,9.87,9.48,2.34,9.25,4.31,2.47,1.53,9.83,8.84,4.46,14.83,11.51,3.82,4.38,13.9,2.61,6.5,2.7,12.17,0.5,5.76,5.72,5.18,9.25,14.86,8.85,13.62,3.62,9.68,10.57,0.71,10.52,8.74,2.11,0
e_carr_tenn,191,528153,2025-09-06,3.54,0.73,13.31,2.61,5.35,13.12,2.27,7.26,2.97,2.73,0.25,11.86,6.65,0.25,2.99,5.89,3.33,11.47,14.0,14.12,2.87,2.2,0.61,1.91,12.47,6.76,4.31,8.91,11.26,1.39,12.7,9.98,11.95,10.54,7.21,1.49,13.39,3.03,11.83,1.25,10.26,1.47,1.42,13.36,0.62,4.54,12.78,4.94,12.31,13.87,8.01,1.37,3.9,10.58,11.95,14.78,8.6,6.4,6.78,13.85,6.63,12.54,3.24,5.71,4.98,9.27,9.75,8.17,14.68,9.49,11.18,11.6,8.5,5.25,10.86,0.93,11.26,11.36,4.71,12.75,6.02,11.47,7.93,10.57,8.69,1.21,11.72,10.3,8.87,13.87,0.65,10.72,2.93,6.28,11.25,5.38,0
e_nor_cal,032,894871,2025-09-06,14.75,8.7,8.58,2.91,3.89,11.68,12.1,6.83,12.73,10.22,12.73,8.96,2.83,5.73,6.24,11.21,14.98,5.79,7.88,0.56,4.55,2.63,8.46,4.84,7.96,14.79,9.83,14.13,14.56,6.34,11.53,7.97,6.53,13.96,0.32,14.04,9.09,8.23,4.62,12.27,14.88,9.42,12.27,7.13,2.36,12.1,0.14,3.24,14.36,3.32,11.34,9.44,3.38,13.18,3.63,5.8,3.53,12.27,13.86,0.27,1.42,9.5,7.3,13.98,2.45,2.58,2.69,0.65,2.35,12.99,7.54,7.54,6.07,9.03,13.73,2.35,9.86,4.49,14.13,12.5,6.42,6.13,1.29,9.39,14.25,1.49,2.0,4.58,2.7,9.21,1.59,10.51,8.52,5.22,5.46,5.2,0
e_carr_tenn,191,178261,2025-09-07,1.48,13.55,4.51,8.2,10.67,3.31,14.28,4.63,4.56,1.89,8.2,13.68,10.79,10.2,13.91,4.04,5.26,7.55,2.73,2.4,14.92,9.03,13.05,7.49,12.5,6.49,14.18,1.5,1.06,12.74,5.71,0.65,12.13,0.35,7.66,4.81,11.9,6.46,0.54,11.39,9.04,10.48,10.72,2.38,12.94,0.96,6.83,2.11,4.93,1.15,12.37,12.86,8.35,9.45,3.64,5.05,6.58,13.28,4.84,13.15,5.86,13.11,9.4,13.34,8.75,5.11,13.84,3.94,6.03,0.02,2.5,9.0,5.9,0.47,14.23,3.79,5.96,0.5,14.13,6.5,11.58,12.31,6.62,7.92,6.72,7.65,11.0,2.76,7.02,14.39,0.2,3.29,9.43,13.61,8.95,14.37,0
